iso_code,date,daily_icu_admissions,daily_hosp_patients,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
QAT,16-May-2020,1,269,158,"1,308",,
QAT,17-May-2020,18,242,165,"1,421",,
QAT,18-May-2020,19,223,172,"1,436",,
QAT,19-May-2020,24,221,163,"1,452",,
QAT,20-May-2020,17,270,172,"1,578",,
QAT,21-May-2020,24,323,171,"1,555",,
QAT,22-May-2020,13,294,175,"1,719",116,"1,842"
QAT,23-May-2020,16,272,177,"1,694",131,"1,845"
QAT,24-May-2020,24,256,188,"1,805",137,"1,859"
QAT,25-May-2020,22,295,202,"1,895",140,"1,931"
QAT,26-May-2020,19,257,205,"1,859",135,"1,967"
QAT,27-May-2020,12,215,203,"1,509",130,"1,912"
QAT,28-May-2020,23,261,214,"1,608",129,"1,850"
QAT,29-May-2020,20,246,216,"1,612",136,"1,802"
QAT,30-May-2020,18,252,217,"1,575",138,"1,782"
QAT,31-May-2020,27,242,232,"1,502",141,"1,768"
QAT,01-Jun-2020,22,202,240,"1,493",141,"1,675"
QAT,02-Jun-2020,20,220,239,"1,504",142,"1,638"
QAT,03-Jun-2020,15,245,237,"1,556",145,"1,668"
QAT,04-Jun-2020,14,210,239,"1,646",136,"1,617"
QAT,05-Jun-2020,18,238,238,"1,717",134,"1,609"
QAT,06-Jun-2020,15,193,238,"1,636",131,"1,550"
QAT,07-Jun-2020,22,135,245,"1,581",126,"1,443"
QAT,08-Jun-2020,19,179,241,"1,603",123,"1,420"
QAT,09-Jun-2020,16,153,236,"1,470",119,"1,353"
QAT,10-Jun-2020,15,161,226,"1,420",119,"1,269"
QAT,11-Jun-2020,17,163,230,"1,380",122,"1,222"
QAT,12-Jun-2020,14,156,229,"1,281",118,"1,140"
QAT,13-Jun-2020,13,138,232,"1,243",116,"1,085"
QAT,14-Jun-2020,13,143,231,"1,229",107,"1,093"
QAT,15-Jun-2020,18,128,238,"1,173",106,"1,042"
QAT,16-Jun-2020,19,143,244,"1,147",109,"1,032"
QAT,17-Jun-2020,9,122,240,"1,118",103,993
QAT,18-Jun-2020,11,142,230,"1,124",97,972
QAT,19-Jun-2020,16,160,221,"1,157",99,976
QAT,20-Jun-2020,14,125,224,"1,164",100,963
QAT,21-Jun-2020,8,112,221,"1,124",95,932
QAT,22-Jun-2020,11,111,219,"1,072",88,915
QAT,23-Jun-2020,17,131,225,"1,087",86,903
QAT,24-Jun-2020,7,100,219,"1,068",84,881
QAT,25-Jun-2020,11,126,212,993,84,865
QAT,26-Jun-2020,7,117,200,963,75,822
QAT,27-Jun-2020,14,80,205,922,75,777
QAT,28-Jun-2020,8,94,201,926,75,759
QAT,29-Jun-2020,9,93,203,914,73,741
QAT,30-Jun-2020,9,113,200,878,65,723
QAT,01-Jul-2020,7,74,190,832,65,697
QAT,02-Jul-2020,6,85,187,779,60,656
QAT,03-Jul-2020,10,91,185,765,63,630
QAT,04-Jul-2020,10,63,176,735,59,613
QAT,05-Jul-2020,8,52,175,699,59,571
QAT,06-Jul-2020,9,62,164,706,59,540
QAT,07-Jul-2020,7,67,154,714,57,494
QAT,08-Jul-2020,8,60,154,712,58,480
QAT,09-Jul-2020,4,48,145,700,56,443
QAT,10-Jul-2020,7,64,139,699,53,416
QAT,11-Jul-2020,11,43,141,661,54,396
QAT,12-Jul-2020,6,44,140,636,52,388
QAT,13-Jul-2020,4,30,139,617,47,356
QAT,14-Jul-2020,9,50,137,603,49,339
QAT,15-Jul-2020,5,52,135,592,46,331
QAT,16-Jul-2020,9,45,135,564,51,328
QAT,17-Jul-2020,7,41,132,545,51,305
QAT,18-Jul-2020,4,29,132,530,44,291
QAT,19-Jul-2020,8,42,128,526,46,289
QAT,20-Jul-2020,9,30,126,537,51,289
QAT,21-Jul-2020,3,51,119,549,45,290
QAT,22-Jul-2020,4,56,113,551,44,294
QAT,23-Jul-2020,6,43,114,530,41,292
QAT,24-Jul-2020,7,41,101,528,41,292
QAT,25-Jul-2020,4,43,98,516,41,306
QAT,26-Jul-2020,2,40,89,531,35,304
QAT,27-Jul-2020,3,40,92,502,29,314
QAT,28-Jul-2020,5,51,92,496,31,314
QAT,29-Jul-2020,8,34,97,470,35,292
QAT,30-Jul-2020,5,43,91,420,34,292
QAT,31-Jul-2020,2,29,77,406,29,280
QAT,01-Aug-2020,1,29,75,397,26,266
QAT,02-Aug-2020,4,31,76,398,28,257
QAT,03-Aug-2020,2,48,75,395,27,265
QAT,04-Aug-2020,2,34,73,390,24,248
QAT,05-Aug-2020,4,35,75,389,20,249
QAT,06-Aug-2020,4,38,77,394,19,244
QAT,07-Aug-2020,5,41,82,383,22,256
QAT,08-Aug-2020,3,43,78,394,24,270
QAT,09-Aug-2020,4,54,80,418,24,293
QAT,10-Aug-2020,2,48,75,428,24,293
QAT,11-Aug-2020,6,41,77,424,28,300
QAT,12-Aug-2020,3,57,75,449,27,322
QAT,13-Aug-2020,4,38,74,438,27,322
QAT,14-Aug-2020,4,58,71,447,26,339
QAT,15-Aug-2020,6,49,69,478,29,345
QAT,16-Aug-2020,5,41,74,447,30,332
QAT,17-Aug-2020,6,46,69,454,34,330
QAT,18-Aug-2020,3,53,68,447,31,342
QAT,19-Aug-2020,2,33,66,416,30,318
QAT,20-Aug-2020,4,44,64,425,30,324
QAT,21-Aug-2020,5,32,66,419,31,298
QAT,22-Aug-2020,4,39,65,432,29,288
QAT,23-Aug-2020,3,34,68,443,27,281
QAT,24-Aug-2020,2,37,67,445,23,272
QAT,25-Aug-2020,5,34,68,425,25,253
QAT,26-Aug-2020,1,41,63,433,24,261
QAT,27-Aug-2020,7,42,66,423,27,259
QAT,28-Aug-2020,4,46,68,427,26,273
QAT,29-Aug-2020,7,34,67,413,29,268
QAT,30-Aug-2020,3,33,66,409,29,267
QAT,31-Aug-2020,5,32,68,392,32,262
QAT,01-Sep-2020,5,37,65,389,32,265
QAT,02-Sep-2020,2,31,60,382,33,255
QAT,03-Sep-2020,3,40,58,390,29,253
QAT,04-Sep-2020,3,38,54,391,28,245
QAT,05-Sep-2020,3,37,51,397,24,248
QAT,06-Sep-2020,3,36,49,405,24,251
QAT,07-Sep-2020,8,35,59,412,27,254
QAT,08-Sep-2020,4,41,49,408,26,258
QAT,09-Sep-2020,2,44,51,400,26,271
QAT,10-Sep-2020,3,50,47,392,26,281
QAT,11-Sep-2020,7,43,50,375,30,286
QAT,12-Sep-2020,1,42,48,401,28,291
QAT,13-Sep-2020,4,37,50,408,29,292
QAT,14-Sep-2020,5,47,55,411,26,304
QAT,15-Sep-2020,6,52,55,424,28,315
QAT,16-Sep-2020,1,36,55,415,27,307
QAT,17-Sep-2020,7,45,58,418,31,302
QAT,18-Sep-2020,3,36,59,405,27,295
QAT,19-Sep-2020,5,40,58,414,31,293
QAT,20-Sep-2020,4,30,60,427,31,286
QAT,21-Sep-2020,5,45,62,427,31,284
QAT,22-Sep-2020,5,46,66,418,30,278
QAT,23-Sep-2020,2,36,64,421,31,278
QAT,24-Sep-2020,3,54,62,426,27,287
QAT,25-Sep-2020,3,39,63,441,27,290
QAT,26-Sep-2020,3,38,58,437,25,288
QAT,27-Sep-2020,4,49,52,450,25,307
QAT,28-Sep-2020,8,33,55,437,28,295
QAT,29-Sep-2020,4,40,53,431,27,289
QAT,30-Sep-2020,4,36,56,420,29,289
QAT,01-Oct-2020,7,38,58,409,33,273
QAT,02-Oct-2020,4,39,59,395,34,273
QAT,03-Oct-2020,5,39,58,386,36,274
QAT,04-Oct-2020,2,34,58,388,34,259
QAT,05-Oct-2020,5,37,59,377,31,263
QAT,06-Oct-2020,3,40,56,358,30,263
QAT,07-Oct-2020,3,39,55,347,29,266
QAT,08-Oct-2020,5,39,56,361,27,267
QAT,09-Oct-2020,4,34,55,356,27,262
QAT,10-Oct-2020,1,29,54,361,23,252
QAT,11-Oct-2020,8,43,56,384,29,261
QAT,12-Oct-2020,3,40,55,371,27,264
QAT,13-Oct-2020,3,44,56,387,27,268
QAT,14-Oct-2020,5,63,57,408,29,292
QAT,15-Oct-2020,2,36,55,401,26,289
QAT,16-Oct-2020,5,43,54,395,27,298
QAT,17-Oct-2020,4,40,52,394,30,309
QAT,18-Oct-2020,4,33,51,385,26,299
QAT,19-Oct-2020,0,18,49,384,23,277
QAT,20-Oct-2020,2,41,44,379,22,274
QAT,21-Oct-2020,0,43,42,373,17,254
QAT,22-Oct-2020,2,41,38,384,17,259
QAT,23-Oct-2020,2,28,35,378,14,244
QAT,24-Oct-2020,4,22,34,369,14,226
QAT,25-Oct-2020,0,29,33,377,10,222
QAT,26-Oct-2020,5,43,37,376,15,247
QAT,27-Oct-2020,3,45,40,380,16,251
QAT,28-Oct-2020,3,41,38,388,19,249
QAT,29-Oct-2020,3,54,41,378,20,262
QAT,30-Oct-2020,1,30,39,365,19,264
QAT,31-Oct-2020,1,36,36,366,16,278
QAT,01-Nov-2020,3,25,40,338,19,274
